Louis Armstrong;69;1100900;Trompete, Voz;Hot Five And Hot Seven;0;
Duke Ellington;75;1100901;Piano, Compositor;Duke Ellington Orchestra;0;
Miles Davis;65;1100902;Trompete;Miles Davis Quintet;0;
John Coltrane;40;1100903;Saxofone;John Coltrane Quartet;0;
Charlie Parker;34;1100904;Saxofone;Artista Solo;0;
Ella Fitzgerald;79;1100905;Voz;Artista Solo;0;
Billie Holiday;44;1100906;Voz;Artista Solo;0;
Thelonious Monk;64;1100907;Piano;Thelonious Monk Quartet;0;
Dizzy Gillespie;75;1100908;Trompete;Dizzy Gillespie Big Band;0;
Herbie Hancock;84;1100909;Piano, Teclados;The Headhunters;0;
Chet Baker;58;1100910;Trompete, Voz;Chet Baker Quartet;0;
Stan Getz;64;1100911;Saxofone;Stan Getz Quartet;0;
Nina Simone;70;1100912;Voz, Piano;Artista Solo;0;
Pat Metheny;69;1100913;Guitarra;Pat Metheny Group;0;
Oscar Peterson;82;1100914;Piano;Oscar Peterson Trio;0;
Count Basie;79;1100915;Piano, Bandleader;Count Basie Orchestra;0;
Sarah Vaughan;66;1100916;Voz;Artista Solo;0;
Charles Mingus;56;1100917;Contrabaixo, Compositor;Charles Mingus Sextet;0;
Max Roach;83;1100918;Bateria;Max Roach Quintet;0;
Art Blakey;71;1100919;Bateria, Bandleader;The Jazz Messengers;0;
Wes Montgomery;45;1100920;Guitarra;Wes Montgomery Trio;0;
Joe Henderson;64;1100921;Saxofone;Joe Henderson Quintet;0;
Keith Jarrett;79;1100922;Piano;Keith Jarrett Trio;0;
Chick Corea;79;1100923;Piano, Teclados;Return To Forever;0;
Wayne Shorter;89;1100924;Saxofone;Weather Report;0;
Sonny Rollins;93;1100925;Saxofone;Artista Solo;0;
Tony Bennett;96;1100926;Voz;Artista Solo;0;
Gerry Mulligan;68;1100927;Saxofone, Arranjador;Gerry Mulligan Quartet;0;
Diana Krall;59;1100928;Voz, Piano;Diana Krall Quartet;0;
Norah Jones;44;1100929;Voz, Piano;Artista Solo;0;
Bobby Mcferrin;74;1100930;Voz;Artista Solo;0;
Marcus Miller;66;1100931;Baixo, Compositor;Marcus Miller Band;0;
Esperanza Spalding;39;1100932;Contrabaixo, Voz;Esperanza Spalding Band;0;
Wynton Marsalis;62;1100933;Trompete;Wynton Marsalis Septet;0;
Roy Hargrove;49;1100934;Trompete;Roy Hargrove Quintet;0;
John Mclaughlin;82;1100935;Guitarra;Mahavishnu Orchestra;0;
Kenny Garrett;63;1100936;Saxofone;Kenny Garrett Quintet;0;
Lou Donaldson;97;1100937;Saxofone;Lou Donaldson Quartet;0;
Lester Young;49;1100938;Saxofone;Count Basie Orchestra;0;
Coleman Hawkins;64;1100939;Saxofone;Artista Solo;0;
Jaco Pastorius;35;1100940;Baixo;Weather Report;0;
Ron Carter;87;1100941;Contrabaixo;Miles Davis Quintet;0;
Paul Desmond;52;1100942;Saxofone;Dave Brubeck Quartet;0;
Jimmy Smith;79;1100943;Orgao, Teclados;Jimmy Smith Trio;0;
Art Tatum;47;1100944;Piano;Artista Solo;0;
Jelly Roll Morton;50;1100945;Piano, Compositor;Red Hot Peppers;0;
Bud Powell;41;1100946;Piano;Bud Powell Trio;0;
Duke Pearson;48;1100947;Piano, Arranjador;Blue Note Records;0;
Gary Burton;81;1100948;Vibrafone;Gary Burton Quartet;0;
Lee Morgan;33;1100949;Trompete;The Jazz Messengers;0;
